[(u'cpuwithoverprovisioning', u'128000.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 100529952768), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 65572152), (u'id', u'67e41861-b793-47df-91ba-1e0507670013'), (u'networkkbswrite', 102), (u'suitableformigration', False), (u'clusterid', u'28fc4a61-a7ec-4e6e-a091-5f2e62de3a60'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 64424509440), (u'cpuused', u'0.83%'), (u'cpuspeed', 2000), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'130%'), (u'ipaddress', u'192.168.14.15'), (u'name', u'xs204.gdcloud.com'), (u'networkkbsread', 546), (u'created', u'2013-07-12T14:51:03+0800'), (u'clustername', u'z3p1c1'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xen204'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'128000.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 100529952768), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 82756760), (u'id', u'545ee154-610b-4b67-8bc2-1f0483f2c795'), (u'networkkbswrite', 11096), (u'suitableformigration', False), (u'clusterid', u'72230a1b-69b8-40e5-bd2e-0188e6fe15fc'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 81872814080), (u'cpuused', u'0.46%'), (u'cpuspeed', 2000), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'172.19%'), (u'ipaddress', u'192.168.14.21'), (u'name', u'xs211.gdcloud.com'), (u'networkkbsread', 11063), (u'created', u'2013-08-06T13:15:22+0800'), (u'clustername', u'z3p1c2'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xen211'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'128000.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 100529952768), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 95161220), (u'id', u'd102a8f5-089d-4a71-a7d1-30fcca5c7885'), (u'networkkbswrite', 0), (u'suitableformigration', False), (u'clusterid', u'28fc4a61-a7ec-4e6e-a091-5f2e62de3a60'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 94489280512), (u'cpuused', u'1.52%'), (u'cpuspeed', 2000), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'130%'), (u'ipaddress', u'192.168.14.14'), (u'name', u'xs203.gdcloud.com'), (u'networkkbsread', 482), (u'created', u'2013-10-18T18:09:24+0800'), (u'clustername', u'z3p1c1'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xen203'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'128000.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 100529968896), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 70837640), (u'id', u'1c35071c-5af0-4ea1-8105-4f541c5186b4'), (u'networkkbswrite', 2260), (u'suitableformigration', False), (u'clusterid', u'72230a1b-69b8-40e5-bd2e-0188e6fe15fc'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 69768052736), (u'cpuused', u'0.66%'), (u'cpuspeed', 2000), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'154.38%'), (u'ipaddress', u'192.168.14.22'), (u'name', u'xs212.gdcloud.com'), (u'networkkbsread', 2821), (u'created', u'2013-08-02T17:43:16+0800'), (u'clustername', u'z3p1c2'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xen212'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134343086976), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 19470136), (u'id', u'46ed6bbc-5a3d-47b9-a1ce-f3d3551fdb56'), (u'networkkbswrite', 0), (u'suitableformigration', False), (u'clusterid', u'f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 17179869184), (u'cpuused', u'0.1%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'25%'), (u'ipaddress', u'192.168.14.225'), (u'name', u'xs225.gdcloud.com'), (u'networkkbsread', 195), (u'created', u'2013-10-21T17:22:20+0800'), (u'clustername', u'z3p1c3'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs225'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134343086976), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 19470560), (u'id', u'ed8acd1b-add6-49cc-9bc5-d7abdb4153b9'), (u'networkkbswrite', 82), (u'suitableformigration', False), (u'clusterid', u'9fb756c4-ac51-4708-9dd9-5c6f98083628'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 17179869184), (u'cpuused', u'0.25%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'25%'), (u'ipaddress', u'192.168.14.236'), (u'name', u'xs236.gdcloud.com'), (u'networkkbsread', 265), (u'created', u'2013-11-14T12:03:30+0800'), (u'clustername', u'z3p1c4'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs236.gdcloud.com'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134343086976), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 36517472), (u'id', u'ec5236d4-8457-4435-bda0-8a6b68e76d00'), (u'networkkbswrite', 6646), (u'suitableformigration', False), (u'clusterid', u'f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 34493956096), (u'cpuused', u'0.23%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'50.6%'), (u'ipaddress', u'192.168.14.222'), (u'name', u'xs222.gdcloud.com'), (u'networkkbsread', 6826), (u'created', u'2013-10-18T17:48:39+0800'), (u'clustername', u'z3p1c3'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs222'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134343086976), (u'zoneid', u'8e19be3a-c953-4dec-aa74-857226de927c'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 28439256), (u'id', u'd3cb6e25-e100-4890-9d74-7a0defec1ff6'), (u'networkkbswrite', 1894454), (u'suitableformigration', False), (u'clusterid', u'30d04a9d-5a49-46aa-9d30-9b29410f2000'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 26294091776), (u'cpuused', u'0.85%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u751f\u4ea7\u7cfb\u7edf\u8d44\u6e90\u57df'), (u'podid', u'd3872749-5b1d-47c3-a6e8-70d30d7abf9a'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'28.12%'), (u'ipaddress', u'192.168.11.26'), (u'name', u'xs228.gdcloud.com'), (u'networkkbsread', 1942702), (u'created', u'2013-11-22T14:44:01+0800'), (u'clustername', u'khjtz2p1c2'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs228'), (u'podname', u'\u751f\u4ea7\u7cfb\u7edf-POD')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134344224000), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 53301248), (u'id', u'6a0d24d5-5baf-4c75-9eff-f762ef3fe892'), (u'networkkbswrite', 4), (u'suitableformigration', False), (u'clusterid', u'f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 51539607552), (u'cpuused', u'0.47%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'75%'), (u'ipaddress', u'192.168.14.223'), (u'name', u'xs223.gdcloud.com'), (u'networkkbsread', 191), (u'created', u'2013-10-18T17:48:16+0800'), (u'clustername', u'z3p1c3'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs222'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134344224000), (u'zoneid', u'81e63956-ff38-4ea5-a043-b859ceac0f19'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 78676360), (u'id', u'6b41acee-919a-4af7-8c72-94748ddf5673'), (u'networkkbswrite', 0), (u'suitableformigration', False), (u'clusterid', u'9fb756c4-ac51-4708-9dd9-5c6f98083628'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 77309411328), (u'cpuused', u'0.35%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u4fe1\u606f\u7cfb\u7edf\u57df'), (u'podid', u'1013b3d4-d803-420c-b377-d61ba2afa2a8'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'112.5%'), (u'ipaddress', u'192.168.14.235'), (u'name', u'xs235.gdcloud.com'), (u'networkkbsread', 162), (u'created', u'2013-11-13T12:01:47+0800'), (u'clustername', u'z3p1c4'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs235'), (u'podname', u'\u4fe1\u606f\u7cfb\u7edf-POD1')]
[(u'cpuwithoverprovisioning', u'166400.0'), (u'version', u'3.0.4.20120717230217'), (u'memorytotal', 134344224000), (u'zoneid', u'8e19be3a-c953-4dec-aa74-857226de927c'), (u'cpunumber', 32), (u'managementserverid', 266905390586919), (u'lastpinged', u'1970-01-16T23:30:52+0700'), (u'memoryused', 44968224), (u'id', u'1c5c8c2d-38bc-4079-a76d-a7706f7bfd1e'), (u'networkkbswrite', 0), (u'suitableformigration', False), (u'clusterid', u'30d04a9d-5a49-46aa-9d30-9b29410f2000'), (u'capabilities', u'xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64'), (u'state', u'Up'), (u'memoryallocated', 43083890688), (u'cpuused', u'0.18%'), (u'cpuspeed', 2600), (u'type', u'Routing'), (u'events', u'Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance'), (u'zonename', u'\u751f\u4ea7\u7cfb\u7edf\u8d44\u6e90\u57df'), (u'podid', u'd3872749-5b1d-47c3-a6e8-70d30d7abf9a'), (u'clustertype', u'CloudManaged'), (u'hahost', False), (u'cpuallocated', u'38.1%'), (u'ipaddress', u'192.168.11.25'), (u'name', u'xs227.gdcloud.com'), (u'networkkbsread', 310), (u'created', u'2013-11-20T16:33:05+0800'), (u'clustername', u'khjtz2p1c2'), (u'hypervisor', u'XenServer'), (u'islocalstorageactive', False), (u'resourcestate', u'Enabled'), (u'hosttags', u'xs227'), (u'podname', u'\u751f\u4ea7\u7cfb\u7edf-POD')]
