02:00:5e:0e:00:1e , i-21-1912-VM , linux63-1 ,  , test , 2 , 4096 , Stopped , false , 2013-10-30T15:30:13+0800 , 2CPU-4G-test-nfs-z2p201c1 , XenServer
02:00:6d:5f:00:18 , i-21-1906-VM , W2K8R2-2 , 192.168.31.187 , test , 2 , 4096 , Running , false , 2013-10-29T17:05:10+0800 , 2CPU-4G-test-nfs-z2p201c1 , XenServer
02:00:20:9d:00:5a , i-15-1901-VM , SJZX37 , 192.168.31.80 , gdupc , 4 , 4096 , Running , false , 2013-10-24T09:36:20+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:45:89:00:59 , i-15-1900-VM , SJZX36 , 192.168.31.71 , gdupc , 2 , 4096 , Running , false , 2013-10-23T16:33:29+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:1e:d1:00:13 , i-21-1899-VM , W2K8R2-1 , 192.168.31.185 , test , 2 , 4096 , Running , false , 2013-10-23T09:44:12+0800 , 2CPU-4G-test-nfs-z2p201c1 , XenServer
02:00:6d:8b:00:12 , i-21-1898-VM , wxp3-2 , 192.168.31.184 , test , 2 , 4096 , Running , false , 2013-10-23T09:15:47+0800 , 2CPU-4G-test-nfs-z2p201c1 , XenServer
02:00:33:94:00:2f , i-9-1514-VM , REPORT-Release , 192.168.32.90 , jituanmenhu , 4 , 12288 , Running , true , 2013-05-06T14:26:42+0800 , 4CPU-12G-HA-NA-KVM , KVM
02:00:0e:e3:00:10 , i-21-1896-VM , wxp3-1 , 192.168.31.183 , test , 2 , 4096 , Running , false , 2013-10-22T17:24:46+0800 , 2CPU-4G-test-nfs-z2p201c1 , XenServer
02:00:7d:af:00:08 , i-22-1895-VM , OSP , 172.17.0.76 , caigoupingtai , 8 , 16384 , Running , true , 2013-10-21T16:38:29+0800 , 8CPU-16G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:56:78:00:07 , i-22-1894-VM , WDP , 172.17.0.75 , caigoupingtai , 16 , 32768 , Running , true , 2013-10-21T16:36:58+0800 , 16CPU-32G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:41:b3:00:06 , i-22-1893-VM , EPP , 172.17.0.73 , caigoupingtai , 16 , 32768 , Running , true , 2013-10-21T16:21:40+0800 , 16CPU-32G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:2e:3d:00:05 , i-22-1892-VM , WFP , 172.17.0.77 , caigoupingtai , 8 , 16384 , Running , true , 2013-10-21T15:43:16+0800 , 8CPU-16G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:3e:24:00:04 , i-22-1891-VM , PIP , 172.17.0.74 , caigoupingtai , 16 , 32768 , Running , true , 2013-10-21T14:17:01+0800 , 16CPU-32G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:0c:a3:00:03 , i-22-1890-VM , SRP , 172.17.0.72 , caigoupingtai , 32 , 65536 , Running , true , 2013-10-21T14:14:46+0800 , 32CPU-64G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:7d:71:00:01 , i-22-1888-VM , PRD , 172.17.0.71 , caigoupingtai , 32 , 65536 , Running , true , 2013-10-21T13:55:28+0800 , 32CPU-64G-z3p1c3-1-nfs-slow-HA , XenServer
02:00:7c:e9:00:0f , i-21-1887-VM , SCADA2 , 192.168.31.182 , test , 4 , 8192 , Running , false , 2013-10-15T17:41:30+0800 , 4CPU-8G-test-nfs-z2p201c1 , XenServer
02:00:48:3f:00:01 , i-17-1503-VM , GDUPC-ftpserver-vip , 192.168.31.199 , xenvip , 4 , 4096 , Running , true , 2013-04-28T10:46:59+0800 , 4CPU-4G-NA-SLOW-XEN , XenServer
02:00:68:5f:00:0d , i-21-1885-VM , SCADA1 , 192.168.31.181 , test , 4 , 8192 , Running , false , 2013-10-15T17:30:12+0800 , 4CPU-8G-test-nfs-z2p201c1 , XenServer
02:00:19:7a:00:3d , i-7-1881-VM , RealTimeDataServer , 192.168.31.63 , fengce , 2 , 2048 , Running , false , 2013-10-15T15:47:28+0800 , 2CPU-2G , XenServer
02:00:1e:14:00:15 , i-18-1877-VM , mis-hamijijian , 172.17.0.58 , isinternal , 4 , 8192 , Running , false , 2013-10-15T12:34:54+0800 , 4CPU-8G-is-nfs-slow , XenServer
02:00:55:c8:00:14 , i-18-1870-VM , EPT4WIN , 172.17.0.57 , isinternal , 8 , 16384 , Running , false , 2013-10-10T15:36:17+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:44:0e:00:58 , i-15-1867-VM , zsltest , 192.168.31.171 , gdupc , 4 , 4096 , Running , false , 2013-09-27T20:43:43+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:5d:06:00:1a , i-14-1866-VM , PIQ , 172.17.0.63 , erp , 8 , 16384 , Running , false , 2013-09-25T14:39:25+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:75:3c:00:19 , i-14-1865-VM , EPT , 172.17.0.62 , erp , 8 , 16384 , Running , false , 2013-09-25T14:23:14+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:0f:09:00:57 , i-15-1864-VM , SJZX35 , 192.168.31.159 , gdupc , 2 , 4096 , Running , false , 2013-09-24T10:34:38+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:7f:ee:00:56 , i-15-1863-VM , SJZX28 , 192.168.31.32 , gdupc , 2 , 4096 , Running , false , 2013-09-24T10:30:29+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:3b:2e:00:18 , i-14-1862-VM , ERP01 , 172.17.0.37 , erp , 4 , 8192 , Running , false , 2013-09-18T15:06:01+0800 , 4CPU-8G-is-nfs-slow , XenServer
02:00:4b:c7:00:12 , i-18-1861-VM , EPT , 172.17.0.56 , isinternal , 8 , 16384 , Running , false , 2013-09-18T14:30:37+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:65:e2:00:11 , i-18-1860-VM , QAS , 172.17.0.55 , isinternal , 8 , 16384 , Running , false , 2013-09-18T13:44:59+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:52:f8:00:50 , i-15-1854-VM , gdupc-ftp , 192.168.31.40 , gdupc , 4 , 4096 , Running , false , 2013-09-06T15:04:30+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:11:14:00:10 , i-18-1853-VM , SAPBW , 172.17.0.54 , isinternal , 8 , 16384 , Running , false , 2013-09-02T10:03:54+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:67:73:00:0f , i-18-1852-VM , SAPBO , 172.17.0.53 , isinternal , 8 , 16384 , Running , false , 2013-09-02T09:59:25+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:10:10:00:17 , i-14-1846-VM , SRMQAS , 172.17.0.36 , erp , 8 , 16384 , Running , false , 2013-08-23T14:34:35+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:6f:52:00:16 , i-14-1845-VM , ERPQAS , 172.17.0.35 , erp , 8 , 16384 , Running , false , 2013-08-23T13:31:11+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:4b:51:00:0e , i-18-1844-VM , GDHR-EP , 172.17.0.50 , isinternal , 8 , 16384 , Running , false , 2013-08-21T14:11:01+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:75:43:00:0c , i-10-1842-VM , win7-M-test , 172.17.0.64 , dangyuanzhijia , 4 , 4096 , Running , false , 2013-08-16T16:32:50+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:72:30:00:15 , i-14-1841-VM , EPC-DEMO , 172.17.0.29 , erp , 16 , 32768 , Running , false , 2013-08-13T10:42:29+0800 , 16CPU-32G-is-z3p1c2-na-slow , XenServer
02:00:3f:6d:00:0c , i-18-1840-VM , SAPHCMT , 172.17.0.49 , isinternal , 16 , 32768 , Running , false , 2013-08-13T09:47:12+0800 , 16CPU-32G-is-z3p1c2-na-slow , XenServer
02:00:4f:f0:00:0b , i-18-1839-VM , win7-4 , 172.17.0.48 , isinternal , 4 , 4096 , Running , true , 2013-08-09T13:54:06+0800 , 4CPU-4G-is-z3p1c2-na-slow , XenServer
02:00:2d:14:00:04 , i-17-1838-VM , DC2 , 172.17.0.52 , xenvip , 6 , 8192 , Running , true , 2013-08-08T14:20:32+0800 , 6CPU-8G-is-z3p1c2-na-slow , XenServer
02:00:14:08:00:0a , i-18-1837-VM , win7-3 , 172.17.0.47 , isinternal , 4 , 4096 , Stopped , true , 2013-08-06T15:36:51+0800 , 4CPU-4G-is-z3p1c2-na-slow , XenServer
02:00:75:84:00:09 , i-18-1836-VM , win7-1 , 172.17.0.45 , isinternal , 4 , 4096 , Running , true , 2013-08-06T15:21:39+0800 , 4CPU-4G-is-z3p1c2-na-slow , XenServer
02:00:7c:97:00:07 , i-18-1834-VM , win7-2 , 172.17.0.46 , isinternal , 4 , 4096 , Running , true , 2013-08-06T10:15:51+0800 , 4CPU-4G-is-z3p1c2-na-slow , XenServer
02:00:49:55:00:03 , i-17-1832-VM , AD , 172.17.0.51 , xenvip , 6 , 8192 , Running , true , 2013-08-06T10:00:13+0800 , 6CPU-8G-is-z3p1c2-na-slow , XenServer
02:00:0c:33:00:04 , i-19-1831-VM , HD-WEB , 192.168.31.13 , dianzhan , 4 , 8192 , Running , false , 2013-08-05T13:40:04+0800 , 4CPU-8G-na-slow-xen , XenServer
02:00:1e:7a:00:05 , i-18-1829-VM , ERP-HCM-DEV , 172.17.0.44 , isinternal , 16 , 32768 , Running , false , 2013-08-02T18:04:11+0800 , 16CPU-32G-is-z3p1c2-na-slow , XenServer
02:00:4c:21:00:04 , i-18-1828-VM , filemanage , 172.17.0.43 , isinternal , 8 , 16384 , Running , false , 2013-08-02T17:48:58+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:34:5c:00:4d , i-15-1827-VM , data-transmit1 , 192.168.31.54 , gdupc , 4 , 8192 , Running , false , 2013-07-26T11:00:47+0800 , 4CPU-8G-gdupc-nfs-slow , XenServer
02:00:22:17:00:4b , i-15-1825-VM , SJZX34 , 192.168.31.156 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T17:10:07+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:53:89:00:4a , i-15-1824-VM , SJZX33 , 192.168.31.155 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T17:09:23+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:40:32:00:49 , i-15-1823-VM , SJZX32 , 192.168.31.154 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T16:26:22+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
