cpuwithoverprovisioning|version|memorytotal|zoneid|cpunumber|managementserverid|lastpinged|memoryused|id|networkkbswrite|suitableformigration|clusterid|capabilities|state|memoryallocated|cpuused|cpuspeed|type|events|zonename|podid|clustertype|hahost|cpuallocated|ipaddress|name|networkkbsread|created|clustername|hypervisor|islocalstorageactive|resourcestate|hosttags|podname
166400.0|3.0.4.20120717230217|134355658752|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|31014272|5c0ad0d7-e45c-4c9a-9138-ffc86328032a|0|False|6baa5e86-0893-42b6-a88f-cc14ff9587eb|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|28890365952|1.74%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|72.12%|192.168.11.14|xs03|2013-12-19T16:54:34+0800|902|2012-10-23T22:46:03+0800|生产系统集群|XenServer|False|Enabled|xen-h3|生产系统-POD
166400.0|3.0.4.20120717230217|134355658752|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|72878208|ea62fda7-2b91-43ff-926a-32c277676a38|0|False|6baa5e86-0893-42b6-a88f-cc14ff9587eb|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|71403831296|2.71%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|126.8%|192.168.11.15|xs04|2013-05-28T13:36:38+0800|0|2012-10-24T00:13:12+0800|生产系统集群|XenServer|False|Enabled|xen-h4|生产系统-POD
166400.0|3.0.4.20120717230217|134345199744|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|49081896|7798b6ad-70a5-4ad9-b384-42c9e078451a|0|False|6baa5e86-0893-42b6-a88f-cc14ff9587eb|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|47244640256|0.66%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|87.5%|192.168.11.18|xs05|2013-05-28T13:36:38+0800|904|2013-03-07T12:44:01+0800|生产系统集群|XenServer|False|Enabled|xen5|生产系统-POD
166400.0|3.0.4.20120717230217|134349981696|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:51:20+0700|49084152|322b5ff5-0afb-4a15-9c5c-e3f0adba90e9|892331|False|16448b17-5338-4ff7-ba09-501841044ea6|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|47244640256|3.03%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|85b2e975-60a5-4009-8146-c1daa436b1f8|CloudManaged|False|93.75%|192.168.13.12|xs51.gdcloud.com|2013-05-28T13:36:38+0800|5358479|2013-05-14T14:03:45+0800|gdupc-cluster1|XenServer|False|Enabled|xen51|生产系统-POD2
166400.0|3.0.4.20120717230217|134352820224|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|124952160|0960fe15-b4a4-4847-b077-bcb925714a46|98|False|28fc4a61-a7ec-4e6e-a091-5f2e62de3a60|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|124554051584|1.14%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|193.75%|192.168.14.13|xs202.gdcloud.com|2013-05-28T13:36:38+0800|437|2013-05-14T20:44:33+0800|z3p1c1|XenServer|False|Enabled|xen202|信息系统-POD1
166400.0|3.0.4.20120717230217|134355658752|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|38511320|4e481ee9-1b35-4b06-8c65-01b07da67d76|665|False|6baa5e86-0893-42b6-a88f-cc14ff9587eb|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|36507222016|0.42%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|81.25%|192.168.11.20|xs07|2013-05-28T13:36:38+0800|24145|2013-05-14T20:47:21+0800|生产系统集群|XenServer|False|Enabled|xen7|生产系统-POD
166400.0|3.0.4.20120717230217|134348042304|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|84517652|c44934c8-8a3c-4b79-9f92-bad0da86c7b1|0|False|28fc4a61-a7ec-4e6e-a091-5f2e62de3a60|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|83751862272|0.74%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|137.5%|192.168.14.12|xs201.gdcloud.com|2013-05-28T13:36:38+0800|360|2013-05-14T21:49:51+0800|z3p1c1|XenServer|False|Enabled|xen201|信息系统-POD1
128000.0|3.0.4.20120717230217|100529952768|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|65572152|67e41861-b793-47df-91ba-1e0507670013|90|False|28fc4a61-a7ec-4e6e-a091-5f2e62de3a60|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|64424509440|0.83%|2000|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|130%|192.168.14.15|xs204.gdcloud.com|465|2013-07-12T14:51:03+0800|z3p1c1|XenServer|False|Enabled|xen204|信息系统-POD1
128000.0|3.0.4.20120717230217|100529968896|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|70837640|1c35071c-5af0-4ea1-8105-4f541c5186b4|2068|False|72230a1b-69b8-40e5-bd2e-0188e6fe15fc|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|69768052736|0.66%|2000|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|154.38%|192.168.14.22|xs212.gdcloud.com|2572|2013-08-02T17:43:16+0800|z3p1c2|XenServer|False|Enabled|xen212|信息系统-POD1
128000.0|3.0.4.20120717230217|100529952768|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|82756760|545ee154-610b-4b67-8bc2-1f0483f2c795|11362|False|72230a1b-69b8-40e5-bd2e-0188e6fe15fc|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|81872814080|0.45%|2000|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|172.19%|192.168.14.21|xs211.gdcloud.com|11228|2013-08-06T13:15:22+0800|z3p1c2|XenServer|False|Enabled|xen211|信息系统-POD1
166400.0|3.0.4.20120717230217|134352820224|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|84373860|849645e1-a5df-41be-9107-554ac019de01|0|False|72230a1b-69b8-40e5-bd2e-0188e6fe15fc|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|83080773632|0.79%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|133.05%|192.168.14.23|xs213.gdcloud.com|361|2013-08-14T18:18:14+0800|z3p1c2|XenServer|False|Enabled|xen213|信息系统-POD1
