+-----+--------------------------+---------+--------------+--------------------------------------+-----------------------------------+----------------+----------+-----------+--------+
|  id | created                  | state   | instancename | name                                 | displayname                       | account        | haenable | cpunumber | memory |
+-----+--------------------------+---------+--------------+--------------------------------------+-----------------------------------+----------------+----------+-----------+--------+
|  1  | 2014-08-13T15:34:51+0800 | Running | i-21-2294-VM | base-win2008                         | base-win2008                      | test           |  False   |     4     | 7.9GB  |
|  2  | 2014-08-13T15:31:20+0800 | Running | i-21-2293-VM | base-centos4                         | base-centos4                      | test           |  False   |     4     | 7.9GB  |
|  3  | 2014-08-13T15:29:33+0800 | Running | i-21-2292-VM | base-centos3                         | base-centos3                      | test           |  False   |     4     | 7.9GB  |
|  4  | 2014-08-13T15:06:42+0800 | Running | i-21-2291-VM | base-centos2                         | base-centos2                      | test           |  False   |     4     | 7.9GB  |
|  5  | 2014-08-13T14:26:23+0800 | Running | i-21-2290-VM | base-centos1                         | base-centos1                      | test           |  False   |     4     | 7.9GB  |
|  6  | 2014-07-25T17:59:18+0800 | Running | i-21-2289-VM | hadoop3                              | hadoop3                           | test           |  False   |     4     | 7.9GB  |
|  7  | 2013-10-29T17:05:10+0800 | Stopped | i-21-1906-VM | W2K8R2-2                             | W2K8R2-2                          | test           |  False   |     2     | 4.0GB  |
|  8  | 2014-07-25T17:54:43+0800 | Running | i-21-2288-VM | hadoop2                              | hadoop2                           | test           |  False   |     4     | 7.9GB  |
|  9  | 2014-07-25T17:49:26+0800 | Running | i-21-2287-VM | hadoop1                              | hadoop1                           | test           |  False   |     4     | 7.9GB  |
|  10 | 2014-07-15T10:36:07+0800 | Running | i-21-2286-VM | Jianbi-SIS                           | Jianbi-SIS                        | test           |  False   |     4     | 8.0GB  |
|  11 | 2013-10-24T09:36:20+0800 | Running | i-15-1901-VM | SJZX37                               | stop-tmp-SJZX37                   | gdupc          |  False   |     4     | 4.0GB  |
|  12 | 2013-10-23T16:33:29+0800 | Running | i-15-1900-VM | SJZX36                               | SJZX36                            | gdupc          |  False   |     2     | 4.0GB  |
|  13 | 2014-07-08T10:05:43+0800 | Running | i-21-2282-VM | slave2-hadoop                        | slave2-hadoop                     | test           |  False   |     4     | 8.0GB  |
|  14 | 2013-10-23T09:44:12+0800 | Stopped | i-21-1899-VM | W2K8R2-1                             | W2K8R2-1                          | test           |  False   |     2     | 4.0GB  |
|  15 | 2013-10-23T09:15:47+0800 | Stopped | i-21-1898-VM | wxp3-2                               | wxp3-2                            | test           |  False   |     2     | 4.0GB  |
|  16 | 2014-07-07T20:02:06+0800 | Running | i-21-2279-VM | slave2-hadoop                        | slave1-hadoop                     | test           |  False   |     4     | 8.0GB  |
|  17 | 2013-10-22T17:24:46+0800 | Stopped | i-21-1896-VM | wxp3-1                               | wxp3-1                            | test           |  False   |     2     | 4.0GB  |
|  18 | 2013-10-21T16:38:29+0800 | Running | i-22-1895-VM | OSP                                  | OSP                               | caigoupingtai  |   True   |     8     | 16.0GB |
|  19 | 2013-10-21T16:36:58+0800 | Running | i-22-1894-VM | WDP                                  | WDP                               | caigoupingtai  |   True   |     16    | 32.0GB |
|  20 | 2013-10-21T16:21:40+0800 | Running | i-22-1893-VM | EPP                                  | EPP                               | caigoupingtai  |   True   |     16    | 32.0GB |
|  21 | 2013-10-21T15:43:16+0800 | Running | i-22-1892-VM | WFP                                  | WFP                               | caigoupingtai  |   True   |     8     | 16.0GB |
|  22 | 2013-10-21T14:17:01+0800 | Running | i-22-1891-VM | PIP                                  | PIP                               | caigoupingtai  |   True   |     16    | 32.0GB |
|  23 | 2013-10-21T14:14:46+0800 | Running | i-22-1890-VM | SRP                                  | SRP                               | caigoupingtai  |   True   |     32    | 64.0GB |
|  24 | 2013-10-21T13:55:28+0800 | Running | i-22-1888-VM | PRD                                  | PRD                               | caigoupingtai  |   True   |     32    | 64.0GB |
|  25 | 2013-10-15T17:41:30+0800 | Running | i-21-1887-VM | SCADA2                               | SCADA2                            | test           |  False   |     2     | 4.0GB  |
|  26 | 2014-07-07T18:34:28+0800 | Running | i-21-2269-VM | master2-hadoop                       | master2-hadoop                    | test           |  False   |     4     | 8.0GB  |
|  27 | 2013-04-28T10:46:59+0800 | Running | i-17-1503-VM | GDUPC-ftpserver-vip                  | GDUPC-ftpserver-vip               | xenvip         |   True   |     4     | 4.0GB  |
|  28 | 2014-07-07T18:31:41+0800 | Running | i-21-2268-VM | master1-hadoop                       | master1-hadoop                    | test           |  False   |     4     | 8.0GB  |
|  29 | 2013-10-15T15:47:28+0800 | Running | i-7-1881-VM  | RealTimeDataServer                   | RealTimeDataServer                | fengce         |   True   |     2     | 4.0GB  |
|  30 | 2014-07-01T12:11:39+0800 | Stopped | i-13-2263-VM | RSYHEDNA1                            | RSYHEDNA1                         | ranshaoyouhua  |  False   |     2     | 4.0GB  |
|  31 | 2014-06-25T13:54:28+0800 | Running | i-19-2262-VM | DaWuKou-Mis                          | DaWuKou-Mis                       | dianzhan       |   True   |     4     | 7.9GB  |
|  32 | 2014-06-25T00:42:56+0800 | Running | i-21-2261-VM | gdlongyuantest                       | gdlongyuantest                    | test           |  False   |     4     | 8.0GB  |
|  33 | 2014-06-23T15:21:17+0800 | Running | i-7-2260-VM  | jiaonan-localpred                    | jiaonan-localpred                 | fengce         |   True   |     4     | 7.9GB  |
|  34 | 2013-10-15T12:34:54+0800 | Stopped | i-18-1877-VM | mis-hamijijian                       | (no)mis-hamijijian                | isinternal     |  False   |     4     | 8.0GB  |
|  35 | 2014-06-23T15:20:08+0800 | Running | i-7-2259-VM  | jiaonan-data-collect                 | jiaonan-data-collect              | fengce         |   True   |     2     | 4.0GB  |
|  36 | 2014-06-23T15:18:32+0800 | Running | i-7-2258-VM  | jiaonan-file-upload                  | jiaonan-file-upload               | fengce         |   True   |     4     | 7.9GB  |
|  37 | 2013-10-10T15:36:17+0800 | Running | i-18-1870-VM | EPT4WIN                              | EPT4WIN                           | isinternal     |  False   |     8     | 16.0GB |
|  38 | 2013-09-27T20:43:43+0800 | Running | i-15-1867-VM | zsltest                              | rdp-demo                          | gdupc          |  False   |     4     | 4.0GB  |
|  39 | 2013-09-25T14:39:25+0800 | Running | i-14-1866-VM | PIQ                                  | PIQ                               | erp            |  False   |     8     | 16.0GB |
|  40 | 2013-09-25T14:23:14+0800 | Running | i-14-1865-VM | EPT                                  | EPT                               | erp            |  False   |     8     | 16.0GB |
|  41 | 2013-09-24T10:34:38+0800 | Running | i-15-1864-VM | SJZX35                               | SJZX35                            | gdupc          |  False   |     2     | 4.0GB  |
|  42 | 2013-09-24T10:30:29+0800 | Running | i-15-1863-VM | SJZX28                               | SJZX28                            | gdupc          |  False   |     2     | 4.0GB  |
|  43 | 2013-09-18T15:06:01+0800 | Running | i-14-1862-VM | ERP01                                | ERP01                             | erp            |  False   |     4     | 8.0GB  |
|  44 | 2014-06-18T14:28:26+0800 | Stopped | i-19-2244-VM | GDLD-4                               | GDLD-4                            | dianzhan       |   True   |     4     | 7.9GB  |
|  45 | 2013-09-18T14:30:37+0800 | Running | i-18-1861-VM | EPT                                  | EPT                               | isinternal     |  False   |     8     | 16.0GB |
|  46 | 2014-06-18T14:27:42+0800 | Stopped | i-19-2243-VM | GDLD-3                               | GDLD-3                            | dianzhan       |   True   |     4     | 7.9GB  |
|  47 | 2013-09-18T13:44:59+0800 | Running | i-18-1860-VM | QAS                                  | QAS                               | isinternal     |  False   |     8     | 16.0GB |
|  48 | 2014-06-18T14:18:30+0800 | Running | i-19-2242-VM | GDLD-2                               | GDLD-2                            | dianzhan       |   True   |     4     | 7.9GB  |
|  49 | 2014-06-18T12:50:08+0800 | Running | i-19-2241-VM | GDLD-1                               | GDLD-1                            | dianzhan       |   True   |     4     | 7.9GB  |
|  50 | 2014-06-17T10:37:26+0800 | Running | i-14-2240-VM | f58b6664-e683-4bb6-a84c-9113c269bc6e | ERPBWP                            | erp            |  False   |     8     | 16.0GB |
|  51 | 2014-06-09T13:24:35+0800 | Running | i-14-2239-VM | ERPBOD                               | ERPBOD                            | erp            |  False   |     8     | 16.0GB |
|  52 | 2014-06-06T10:51:18+0800 | Running | i-14-2237-VM | ERPBWD                               | ERPBWD                            | erp            |  False   |     8     | 16.0GB |
|  53 | 2013-09-06T15:04:30+0800 | Running | i-15-1854-VM | gdupc-ftp                            | gdupc-ftp                         | gdupc          |  False   |     4     | 4.0GB  |
|  54 | 2013-09-02T10:03:54+0800 | Running | i-18-1853-VM | SAPBW                                | SAPBW                             | isinternal     |  False   |     8     | 16.0GB |
|  55 | 2013-09-02T09:59:25+0800 | Running | i-18-1852-VM | SAPBO                                | SAPBO                             | isinternal     |  False   |     8     | 16.0GB |
|  56 | 2013-08-23T14:34:35+0800 | Running | i-14-1846-VM | SRMQAS                               | SRMQAS                            | erp            |  False   |     8     | 16.0GB |
|  57 | 2013-08-23T13:31:11+0800 | Running | i-14-1845-VM | ERPQAS                               | ERPQAS                            | erp            |  False   |     8     | 16.0GB |
|  58 | 2013-08-21T14:11:01+0800 | Running | i-18-1844-VM | GDHR-EP                              | GDHR-EP                           | isinternal     |  False   |     8     | 16.0GB |
|  59 | 2013-08-13T10:42:29+0800 | Running | i-14-1841-VM | EPC-DEMO                             | EPC-DEMO                          | erp            |  False   |     16    | 32.0GB |
|  60 | 2013-08-13T09:47:12+0800 | Running | i-18-1840-VM | SAPHCMT                              | SAPHCMT                           | isinternal     |  False   |     16    | 32.0GB |
|  61 | 2013-08-08T14:20:32+0800 | Stopped | i-17-1838-VM | DC2                                  | stop-tmp-DC2                      | xenvip         |   True   |     6     | 8.0GB  |
|  62 | 2013-08-06T10:00:13+0800 | Stopped | i-17-1832-VM | AD                                   | stop-tmp-AD                       | xenvip         |   True   |     6     | 8.0GB  |
|  63 | 2013-08-05T13:40:04+0800 | Stopped | i-19-1831-VM | HD-WEB                               | stoptmp-HD-WEB                    | dianzhan       |   True   |     4     | 7.9GB  |
|  64 | 2013-08-02T18:04:11+0800 | Running | i-18-1829-VM | ERP-HCM-DEV                          | ERP-HCM-DEV                       | isinternal     |  False   |     16    | 32.0GB |
|  65 | 2013-08-02T17:48:58+0800 | Running | i-18-1828-VM | filemanage                           | filemanage                        | isinternal     |  False   |     8     | 16.0GB |
|  66 | 2013-07-26T11:00:47+0800 | Running | i-15-1827-VM | data-transmit1                       | data-transmit1                    | gdupc          |  False   |     4     | 8.0GB  |
|  67 | 2013-07-25T17:10:07+0800 | Running | i-15-1825-VM | SJZX34                               | sjzx34                            | gdupc          |  False   |     2     | 4.0GB  |
|  68 | 2013-07-25T17:09:23+0800 | Running | i-15-1824-VM | SJZX33                               | (no)SJZX33                        | gdupc          |  False   |     2     | 4.0GB  |
