-----SNMP query started-----
1: productType.0 pciBased(2)
2: productVersion.0 NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
3: productId.0 2014941127
4: productVendor.0 netapp(1)
5: productModel.0 FAS3240
6: productFirmwareVersion.0 5.1.1
7: productGuiUrl.0 https://:443/na_admin
8: productApiUrl.0 https://:443/servlets/netapp.servlets.admin.XMLrequest_filer
9: productSerialNum.0 850000223796
10: productPartnerSerialNum.0 unknown
11: productCPUArch.0 5
12: productTrapData.0 Trap variable currrently unused.
13: productMachineType.0 FAS3240
14: product.14.1.1.1 1
15: product.14.1.1.2 2
16: product.14.1.1.3 3
17: product.14.1.1.4 4
18: product.14.1.1.5 5
19: product.14.1.1.6 6
20: product.14.1.1.7 7
21: product.14.1.1.8 8
22: product.14.1.1.9 9
23: product.14.1.1.10 10
24: product.14.1.1.11 11
25: product.14.1.1.12 12
26: product.14.1.1.13 13
27: product.14.1.1.14 14
28: product.14.1.1.15 15
29: product.14.1.1.16 16
30: product.14.1.1.17 17
31: product.14.1.1.18 18
32: product.14.1.1.19 19
33: product.14.1.1.20 20
34: product.14.1.1.21 21
35: product.14.1.1.22 22
36: product.14.1.1.23 23
37: product.14.1.1.24 24
38: product.14.1.1.25 25
39: product.14.1.1.26 26
40: product.14.1.1.27 27
41: product.14.1.1.28 28
42: product.14.1.1.29 29
43: product.14.1.1.30 30
44: product.14.1.1.31 31
45: product.14.1.1.32 32
46: product.14.1.1.33 33
47: product.14.1.1.34 34
48: product.14.1.1.35 35
49: product.14.1.1.36 36
50: product.14.1.1.37 37
51: product.14.1.1.39 39
52: product.14.1.1.40 40
53: product.14.1.1.41 41
54: product.14.1.1.42 42
55: product.14.1.1.43 43
56: product.14.1.1.44 44
57: product.14.1.1.45 45
58: product.14.1.1.46 46
59: product.14.1.1.47 47
60: product.14.1.1.48 48
61: product.14.1.1.49 49
62: product.14.1.2.1 a_sis
63: product.14.1.2.2 cf
64: product.14.1.2.3 cf_remote
65: product.14.1.2.4 cifs
66: product.14.1.2.5 compression
67: product.14.1.2.6 disk_sanitization
68: product.14.1.2.7 fcp
69: product.14.1.2.8 flash_cache
70: product.14.1.2.9 flex_clone
71: product.14.1.2.10 flex_scale
72: product.14.1.2.11 flexcache_nfs
73: product.14.1.2.12 http
74: product.14.1.2.13 insight_balance
75: product.14.1.2.14 iscsi
76: product.14.1.2.15 multistore
77: product.14.1.2.16 nearstore_option
78: product.14.1.2.17 nfs
79: product.14.1.2.18 operations_manager
80: product.14.1.2.19 persistent_archive
81: product.14.1.2.20 protection_manager
82: product.14.1.2.21 provisioning_manager
83: product.14.1.2.22 smdomino
84: product.14.1.2.23 smsql
85: product.14.1.2.24 snapdrive_windows
86: product.14.1.2.25 snaplock
87: product.14.1.2.26 snaplock_enterprise
88: product.14.1.2.27 snapmanager_hyperv
89: product.14.1.2.28 snapmanager_oracle
90: product.14.1.2.29 snapmanager_sap
91: product.14.1.2.30 snapmanager_sharepoint
92: product.14.1.2.31 snapmanager_vi
93: product.14.1.2.32 snapmanagerexchange
94: product.14.1.2.33 snapmirror
95: product.14.1.2.34 snapmirror_sync
96: product.14.1.2.35 snapmover
97: product.14.1.2.36 snaprestore
98: product.14.1.2.37 snapvalidator
99: product.14.1.2.39 sv_application_pri
100: product.14.1.2.40 sv_linux_pri
101: product.14.1.2.41 sv_ontap_pri
102: product.14.1.2.42 sv_ontap_sec
103: product.14.1.2.43 sv_unix_pri
104: product.14.1.2.44 sv_vi_pri
105: product.14.1.2.45 sv_windows_ofm_pri
106: product.14.1.2.46 sv_windows_pri
107: product.14.1.2.47 syncmirror_local
108: product.14.1.2.48 v-series
109: product.14.1.2.49 vld
110: product.14.1.3.1 2
111: product.14.1.3.2 2
112: product.14.1.3.3 2
113: product.14.1.3.4 1
114: product.14.1.3.5 2
115: product.14.1.3.6 2
116: product.14.1.3.7 1
117: product.14.1.3.8 2
118: product.14.1.3.9 1
119: product.14.1.3.10 2
120: product.14.1.3.11 2
121: product.14.1.3.12 2
122: product.14.1.3.13 1
123: product.14.1.3.14 2
124: product.14.1.3.15 2
125: product.14.1.3.16 2
126: product.14.1.3.17 2
127: product.14.1.3.18 2
128: product.14.1.3.19 2
129: product.14.1.3.20 2
130: product.14.1.3.21 2
131: product.14.1.3.22 1
132: product.14.1.3.23 1
133: product.14.1.3.24 1
134: product.14.1.3.25 1
135: product.14.1.3.26 1
136: product.14.1.3.27 1
137: product.14.1.3.28 1
138: product.14.1.3.29 1
139: product.14.1.3.30 1
140: product.14.1.3.31 1
141: product.14.1.3.32 1
142: product.14.1.3.33 1
143: product.14.1.3.34 1
144: product.14.1.3.35 2
145: product.14.1.3.36 1
146: product.14.1.3.37 1
147: product.14.1.3.39 1
148: product.14.1.3.40 2
149: product.14.1.3.41 1
150: product.14.1.3.42 1
151: product.14.1.3.43 2
152: product.14.1.3.44 2
153: product.14.1.3.45 2
154: product.14.1.3.46 2
155: product.14.1.3.47 2
156: product.14.1.3.48 1
157: product.14.1.3.49 2
158: product.14.1.4.1 1
159: product.14.1.4.2 1
160: product.14.1.4.3 1
161: product.14.1.4.4 1
162: product.14.1.4.5 1
163: product.14.1.4.6 1
164: product.14.1.4.7 1
165: product.14.1.4.8 1
166: product.14.1.4.9 1
167: product.14.1.4.10 1
168: product.14.1.4.11 1
169: product.14.1.4.12 1
170: product.14.1.4.13 1
171: product.14.1.4.14 1
172: product.14.1.4.15 1
173: product.14.1.4.16 1
174: product.14.1.4.17 1
175: product.14.1.4.18 1
176: product.14.1.4.19 1
177: product.14.1.4.20 1
178: product.14.1.4.21 1
179: product.14.1.4.22 1
180: product.14.1.4.23 1
181: product.14.1.4.24 1
182: product.14.1.4.25 1
183: product.14.1.4.26 1
184: product.14.1.4.27 1
185: product.14.1.4.28 1
186: product.14.1.4.29 1
187: product.14.1.4.30 1
188: product.14.1.4.31 1
189: product.14.1.4.32 1
190: product.14.1.4.33 1
191: product.14.1.4.34 1
192: product.14.1.4.35 1
193: product.14.1.4.36 1
194: product.14.1.4.37 1
195: product.14.1.4.39 1
196: product.14.1.4.40 1
197: product.14.1.4.41 1
198: product.14.1.4.42 1
199: product.14.1.4.43 1
200: product.14.1.4.44 1
201: product.14.1.4.45 1
202: product.14.1.4.46 1
203: product.14.1.4.47 1
204: product.14.1.4.48 1
205: product.14.1.4.49 1
206: product.14.1.5.1 1
207: product.14.1.5.2 1
208: product.14.1.5.3 1
209: product.14.1.5.4 1
210: product.14.1.5.5 1
211: product.14.1.5.6 1
212: product.14.1.5.7 1
213: product.14.1.5.8 1
214: product.14.1.5.9 1
215: product.14.1.5.10 1
216: product.14.1.5.11 1
217: product.14.1.5.12 1
218: product.14.1.5.13 1
219: product.14.1.5.14 1
220: product.14.1.5.15 1
221: product.14.1.5.16 1
222: product.14.1.5.17 1
223: product.14.1.5.18 1
224: product.14.1.5.19 1
225: product.14.1.5.20 1
226: product.14.1.5.21 1
227: product.14.1.5.22 1
228: product.14.1.5.23 1
229: product.14.1.5.24 1
230: product.14.1.5.25 1
231: product.14.1.5.26 1
232: product.14.1.5.27 1
233: product.14.1.5.28 1
