SNMPv2-MIB::sysDescr.0 = STRING: NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
SNMPv2-MIB::sysObjectID.0 = OID: SNMPv2-SMI::enterprises.789.2.3
DISMAN-EVENT-MIB::sysUpTimeInstance = Timeticks: (2340795276) 270 days, 22:12:32.76
SNMPv2-MIB::sysContact.0 = STRING: 
SNMPv2-MIB::sysName.0 = STRING: stor02c1.hdtr.com
SNMPv2-MIB::sysLocation.0 = STRING: beijing
SNMPv2-MIB::sysServices.0 = INTEGER: 72
IF-MIB::ifNumber.0 = INTEGER: 9
IF-MIB::ifIndex.1 = INTEGER: 1
IF-MIB::ifIndex.2 = INTEGER: 2
IF-MIB::ifIndex.3 = INTEGER: 3
IF-MIB::ifIndex.4 = INTEGER: 4
IF-MIB::ifIndex.5 = INTEGER: 5
IF-MIB::ifIndex.6 = INTEGER: 6
IF-MIB::ifIndex.7 = INTEGER: 7
IF-MIB::ifIndex.8 = INTEGER: 8
IF-MIB::ifIndex.9 = INTEGER: 9
IF-MIB::ifDescr.1 = STRING: e0a
IF-MIB::ifDescr.2 = STRING: e0b
IF-MIB::ifDescr.3 = STRING: e1a
IF-MIB::ifDescr.4 = STRING: e1b
IF-MIB::ifDescr.5 = STRING: MGMT_PORT_ONLY e0M
IF-MIB::ifDescr.6 = STRING: lo
IF-MIB::ifDescr.7 = STRING: vh
IF-MIB::ifDescr.8 = STRING: losk
IF-MIB::ifDescr.9 = STRING: vif1
IF-MIB::ifType.1 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.2 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.3 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.4 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.5 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifType.6 = INTEGER: softwareLoopback(24)
IF-MIB::ifType.7 = INTEGER: softwareLoopback(24)
IF-MIB::ifType.8 = INTEGER: other(1)
IF-MIB::ifType.9 = INTEGER: ethernetCsmacd(6)
IF-MIB::ifMtu.1 = INTEGER: 1500
