i-15-1901-VM stop-tmp-SJZX37 192.168.31.80
i-15-1900-VM SJZX36 192.168.31.71
i-15-1867-VM rdp-demo 192.168.31.171
i-15-1864-VM SJZX35 192.168.31.159
i-15-1863-VM SJZX28 192.168.31.32
i-15-1827-VM data-transmit1 192.168.31.54
i-15-1797-VM SJZX29 192.168.31.33
i-15-1795-VM SJZX27 192.168.31.31
i-15-1794-VM SJZX26 192.168.31.146
i-15-1793-VM SJZX16 192.168.31.62
i-15-1792-VM SJZX15 192.168.31.48
i-15-1791-VM SJZX25 192.168.31.24
i-15-1790-VM SJZX24 192.168.31.19
i-15-1789-VM SJZX23 192.168.31.18
i-15-1788-VM SJZX22 192.168.31.17
i-15-1787-VM SJZX21 192.168.31.16
i-15-1786-VM SJZX20 192.168.31.15
i-15-1785-VM SJZX19 192.168.31.193
i-15-1784-VM SJZX18 192.168.31.197
i-15-1783-VM SJZX17 192.168.31.88
i-15-1397-VM modbus2 192.168.31.170
i-15-1396-VM modbus1 192.168.31.7
i-15-1779-VM data-transmit 192.168.31.139
i-15-1770-VM data-receive 192.168.31.45
i-15-2152-VM gdzs-winddata 192.168.31.103
i-15-1768-VM SJZX-14 192.168.31.46
i-15-1767-VM SJZX-13 192.168.31.47
i-15-1766-VM SJZX-12 192.168.31.70
i-15-1765-VM SJZX-11 192.168.31.42
i-15-1764-VM SJZX-10 192.168.31.44
i-15-1763-VM SJZX-09 192.168.31.150
i-15-1762-VM SJZX-08 192.168.31.172
i-15-1761-VM SJZX-07 192.168.31.173
i-15-1760-VM SJZX-06 192.168.31.186
i-15-1759-VM SJZX-05 192.168.31.67
i-15-1758-VM SJZX-04 192.168.31.68
i-15-1757-VM SJZX03 192.168.31.87
i-15-1752-VM SJZX02 192.168.31.56
i-15-1751-VM SJZX01 192.168.31.57
i-15-1315-VM GDUPC-DBTEST 192.168.31.4
i-15-2013-VM SJZX42 192.168.31.109
i-15-2012-VM SJZX41 192.168.31.108
i-15-2011-VM SJZX40 192.168.31.100
i-15-1996-VM modbus03 192.168.31.125
i-15-1967-VM SJZX39 192.168.31.61
i-15-1918-VM (no)SJZX38 192.168.31.14
